date,value
2017-05-08,1623
2017-05-09,2016
2017-05-10,4643
2017-05-11,1880
2017-05-12,3049
2017-05-13,3944
2017-05-14,2327
2017-05-15,3301
2017-05-16,4723
2017-05-17,1452
2017-05-18,4108
2017-05-19,2183
2017-05-20,4062
2017-05-21,3056
2017-05-22,4304
2017-05-23,4170
2017-05-24,2682
2017-05-25,3863
2017-05-26,3255
2017-05-27,2154
2017-05-28,1403
2017-05-29,3199
2017-05-30,3101
2017-05-31,4191
2017-06-01,2696
2017-06-02,4991
2017-06-03,1627
2017-06-04,1586
2017-06-05,2648
2017-06-06,2443
2017-06-07,2445
2017-06-08,1103
2017-06-09,4923
2017-06-10,1253
2017-06-11,4298
2017-06-12,4183
2017-06-13,3557
2017-06-14,2496
2017-06-15,1098
2017-06-16,3200
2017-06-17,2884
2017-06-18,3961
2017-06-19,2919
2017-06-20,1877
2017-06-21,1337
2017-06-22,4777
2017-06-23,3869
2017-06-24,4234
2017-06-25,4791
2017-06-26,1956
2017-06-27,2704
2017-06-28,1160
2017-06-29,2603
2017-06-30,3848
2017-07-01,1397
2017-07-02,2300
2017-07-03,1815
2017-07-04,4987
2017-07-05,2527
2017-07-06,2919
2017-07-07,2415
2017-07-08,2158
2017-07-09,2218
2017-07-10,1400
2017-07-11,1639
2017-07-12,4104
2017-07-13,3735
2017-07-14,1459
2017-07-15,1954
2017-07-16,4954
2017-07-17,1469
2017-07-18,4446
2017-07-19,2045
2017-07-20,3797
2017-07-21,2693
2017-07-22,3085
2017-07-23,3277
2017-07-24,4436
2017-07-25,1562
2017-07-26,3485
2017-07-27,2799
2017-07-28,4354
2017-07-29,3074
2017-07-30,1225
2017-07-31,4348
2017-08-01,1797
2017-08-02,4680
2017-08-03,3331
2017-08-04,3926
2017-08-05,1959
2017-08-06,2504
2017-08-07,1452
2017-08-08,4067
2017-08-09,4900
2017-08-10,1815
2017-08-11,1658
2017-08-12,4587
2017-08-13,1546
2017-08-14,2215
2017-08-15,4120
2017-08-16,4583
2017-08-17,1016
2017-08-18,4243
2017-08-19,2243
2017-08-20,3205
2017-08-21,3524
2017-08-22,2069
2017-08-23,4444
2017-08-24,3565
2017-08-25,3146
2017-08-26,4963
2017-08-27,2768
2017-08-28,2060
2017-08-29,3327
2017-08-30,4420
2017-08-31,3544
2017-09-01,1301
2017-09-02,1180
2017-09-03,1606
2017-09-04,4170
2017-09-05,1699
2017-09-06,1992
2017-09-07,2139
2017-09-08,1190
2017-09-09,3300
2017-09-10,1980
2017-09-11,3975
2017-09-12,3006
2017-09-13,2184
2017-09-14,4327
2017-09-15,4394
2017-09-16,1127
2017-09-17,3065
2017-09-18,2816
2017-09-19,2758
2017-09-20,3613
2017-09-21,1569
2017-09-22,2346
2017-09-23,2895
2017-09-24,3733
2017-09-25,4863
2017-09-26,1625
2017-09-27,4359
2017-09-28,3901
2017-09-29,2686
2017-09-30,4009
2017-10-01,4710
2017-10-02,1154
2017-10-03,3537
2017-10-04,2409
2017-10-05,1784
2017-10-06,4175
2017-10-07,4464
2017-10-08,4882
2017-10-09,1245
2017-10-10,4247
2017-10-11,4110
2017-10-12,2500
2017-10-13,2705
2017-10-14,3806
2017-10-15,1537
2017-10-16,2890
2017-10-17,2841
2017-10-18,1920
2017-10-19,3455
2017-10-20,1524
2017-10-21,3875
2017-10-22,2529
2017-10-23,3950
2017-10-24,4896
2017-10-25,1035
2017-10-26,1684
2017-10-27,1019
2017-10-28,3368
2017-10-29,4847
2017-10-30,3559
2017-10-31,1399
2017-11-01,3701
2017-11-02,1971
2017-11-03,2906
2017-11-04,3518
2017-11-05,2166
2017-11-06,2115
2017-11-07,4425
2017-11-08,1833
2017-11-09,2823
2017-11-10,3774
2017-11-11,2982
2017-11-12,1853
2017-11-13,1050
2017-11-14,4736
2017-11-15,4769
2017-11-16,1574
2017-11-17,4261
2017-11-18,2148
2017-11-19,3197
2017-11-20,3361
2017-11-21,3617
2017-11-22,4413
2017-11-23,3352
2017-11-24,2715
2017-11-25,1681
2017-11-26,1837
2017-11-27,4854
2017-11-28,2077
2017-11-29,4050
2017-11-30,3491
2017-12-01,3660
2017-12-02,4040
2017-12-03,3311
2017-12-04,4124
2017-12-05,2595
2017-12-06,4051
2017-12-07,4691
2017-12-08,1004
2017-12-09,2126
2017-12-10,2219
2017-12-11,1773
2017-12-12,1876
2017-12-13,1991
2017-12-14,3931
2017-12-15,4421
2017-12-16,1046
2017-12-17,3914
2017-12-18,3870
2017-12-19,3983
2017-12-20,4891
2017-12-21,3703
2017-12-22,1268
2017-12-23,1369
2017-12-24,1635
2017-12-25,2129
2017-12-26,2693
2017-12-27,2682
2017-12-28,1656
2017-12-29,1119
2017-12-30,1830
2017-12-31,2810
2018-01-01,4675
2018-01-02,2081
2018-01-03,2974
2018-01-04,2369
2018-01-05,1740
2018-01-06,4545
2018-01-07,1116
2018-01-08,2853
2018-01-09,3838
2018-01-10,2150
2018-01-11,4464
2018-01-12,2931
2018-01-13,2012
2018-01-14,2664
2018-01-15,2081
2018-01-16,1633
2018-01-17,1512
2018-01-18,4822
2018-01-19,3849
2018-01-20,2119
2018-01-21,4709
2018-01-22,2141
2018-01-23,1559
2018-01-24,4672
2018-01-25,1487
2018-01-26,4308
2018-01-27,4956
2018-01-28,1896
2018-01-29,4343
2018-01-30,2212
2018-01-31,1703
2018-02-01,2470
2018-02-02,1580
2018-02-03,3837
2018-02-04,3908
2018-02-05,3294
2018-02-06,4147
2018-02-07,1153
2018-02-08,2679
2018-02-09,4506
2018-02-10,1996
2018-02-11,4157
2018-02-12,3744
2018-02-13,4356
2018-02-14,2243
2018-02-15,2092
2018-02-16,4118
2018-02-17,2008
2018-02-18,3141
2018-02-19,2773
2018-02-20,1957
2018-02-21,4059
2018-02-22,1452
2018-02-23,2227
2018-02-24,3959
2018-02-25,3265
2018-02-26,3521
2018-02-27,3479
2018-02-28,3388
2018-03-01,1550
2018-03-02,2635
2018-03-03,2312
2018-03-04,4325
2018-03-05,2757
2018-03-06,1356
2018-03-07,3070
2018-03-08,2785
2018-03-09,3569
2018-03-10,2781
2018-03-11,4908
2018-03-12,4171
2018-03-13,3849
2018-03-14,4251
2018-03-15,4294
2018-03-16,4977
2018-03-17,3809
2018-03-18,4730
2018-03-19,3489
2018-03-20,2631
2018-03-21,3816
2018-03-22,2015
2018-03-23,2348
2018-03-24,1515
2018-03-25,4087
2018-03-26,3839
2018-03-27,1335
2018-03-28,2782
2018-03-29,3305
2018-03-30,1496
2018-03-31,1895
2018-04-01,3207
2018-04-02,4546
2018-04-03,1851
2018-04-04,2687
2018-04-05,2931
2018-04-06,3737
2018-04-07,4746
2018-04-08,3427
2018-04-09,2568
2018-04-10,1956
2018-04-11,3738
2018-04-12,4498
2018-04-13,2636
2018-04-14,2291
2018-04-15,4906
2018-04-16,4648
2018-04-17,2440
2018-04-18,2191
2018-04-19,4913
2018-04-20,2066
2018-04-21,4627
2018-04-22,1284
2018-04-23,3444
2018-04-24,1011
2018-04-25,2630
2018-04-26,4373
2018-04-27,4969
2018-04-28,4324
2018-04-29,3546
2018-04-30,1753
2018-05-01,3082
2018-05-02,3774
2018-05-03,3896
2018-05-04,1089
2018-05-05,1775
2018-05-06,3652
2018-05-07,4993
2018-05-08,4017
2018-05-09,2625
2018-05-10,4069
2018-05-11,1417
2018-05-12,1114
2018-05-13,1616
2018-05-14,4974
2018-05-15,4267
2018-05-16,1825
2018-05-17,4572
2018-05-18,2649
2018-05-19,2516
2018-05-20,4146
2018-05-21,1412
2018-05-22,4447
2018-05-23,4491
2018-05-24,1728
2018-05-25,4348
2018-05-26,4068
2018-05-27,3808
2018-05-28,1675
2018-05-29,4465
2018-05-30,2892
2018-05-31,3504
2018-06-01,3967
2018-06-02,3239
2018-06-03,3786
2018-06-04,4760
2018-06-05,2122
2018-06-06,2571
2018-06-07,1977
2018-06-08,2008
2018-06-09,3143
2018-06-10,2687
2018-06-11,3710
2018-06-12,4261
2018-06-13,4807
2018-06-14,1036
2018-06-15,4851
2018-06-16,4440
2018-06-17,4766
2018-06-18,2548
2018-06-19,3326
2018-06-20,3264
2018-06-21,3914
2018-06-22,1872
2018-06-23,2821
2018-06-24,2296
2018-06-25,4952
2018-06-26,3109
2018-06-27,1595
2018-06-28,2903
2018-06-29,1728
2018-06-30,2365
2018-07-01,1396
2018-07-02,1698
2018-07-03,4090
2018-07-04,3224
2018-07-05,2635
2018-07-06,1395
2018-07-07,3492
2018-07-08,4304
2018-07-09,4986
2018-07-10,1075
2018-07-11,1264
2018-07-12,3502
2018-07-13,2819
2018-07-14,1717
2018-07-15,3782
2018-07-16,4455
2018-07-17,4635
2018-07-18,1850
2018-07-19,4577
2018-07-20,2390
2018-07-21,1143
2018-07-22,1884
2018-07-23,4140
2018-07-24,4170
2018-07-25,1395
2018-07-26,4096
2018-07-27,3995
2018-07-28,3938
2018-07-29,2492
2018-07-30,4555
2018-07-31,4636
2018-08-01,4222
2018-08-02,2167
2018-08-03,3616
2018-08-04,2062
2018-08-05,3156
2018-08-06,4764
2018-08-07,2065
2018-08-08,2209
2018-08-09,3982
2018-08-10,3445
2018-08-11,4294
2018-08-12,1633
2018-08-13,2156
2018-08-14,4234
2018-08-15,2238
2018-08-16,1732
2018-08-17,1234
2018-08-18,4914
2018-08-19,3705
2018-08-20,1750
2018-08-21,3635
2018-08-22,4080
2018-08-23,4145
2018-08-24,1953
2018-08-25,3539
2018-08-26,3960
2018-08-27,4324
2018-08-28,4301
2018-08-29,2542
2018-08-30,2197
2018-08-31,2676
2018-09-01,2191
2018-09-02,3217
2018-09-03,2416
2018-09-04,3993
2018-09-05,3842
2018-09-06,3681
2018-09-07,2217
2018-09-08,2540
2018-09-09,3076
2018-09-10,4236
2018-09-11,2445
2018-09-12,3386
2018-09-13,4719
2018-09-14,2519
2018-09-15,2388
2018-09-16,2856
2018-09-17,2365
2018-09-18,1499
2018-09-19,2680
2018-09-20,1510
2018-09-21,4398
2018-09-22,1216
2018-09-23,2324
2018-09-24,2155
2018-09-25,2827
2018-09-26,4141
2018-09-27,4323
2018-09-28,4486
2018-09-29,2810
2018-09-30,3492
2018-10-01,3923
2018-10-02,2205
2018-10-03,3214
2018-10-04,1090
2018-10-05,1713
2018-10-06,2881
2018-10-07,4602
2018-10-08,1038
2018-10-09,4197
2018-10-10,4522
2018-10-11,1172
2018-10-12,1652
2018-10-13,1753
2018-10-14,2243
2018-10-15,4709
2018-10-16,2081
2018-10-17,2683
2018-10-18,3523
2018-10-19,1455
2018-10-20,1828
2018-10-21,1894
2018-10-22,2384
2018-10-23,2958
2018-10-24,4072
2018-10-25,3434
2018-10-26,2996
2018-10-27,3395
2018-10-28,1189
2018-10-29,1504
2018-10-30,2214
2018-10-31,2531
2018-11-01,4440
2018-11-02,4480
2018-11-03,1823
2018-11-04,1928
2018-11-05,1933
2018-11-06,2140
2018-11-07,1133
2018-11-08,3105
2018-11-09,4627
2018-11-10,1684
2018-11-11,3719
2018-11-12,3220
2018-11-13,2852
2018-11-14,1814
2018-11-15,2172
2018-11-16,1079
2018-11-17,3933
2018-11-18,4284
2018-11-19,1202
2018-11-20,3811
2018-11-21,2252
2018-11-22,2699
2018-11-23,2250
2018-11-24,2682
2018-11-25,2555
2018-11-26,4512
2018-11-27,4473
2018-11-28,3094
2018-11-29,2256
2018-11-30,4376
2018-12-01,2549
2018-12-02,2166
2018-12-03,4486
2018-12-04,4584
2018-12-05,2396
2018-12-06,4637
2018-12-07,4957
2018-12-08,4330
2018-12-09,3703
2018-12-10,1470
2018-12-11,4018
2018-12-12,2035
2018-12-13,2353
2018-12-14,3783
2018-12-15,3831
2018-12-16,1967
2018-12-17,1357
2018-12-18,4019
2018-12-19,4479
2018-12-20,1667
2018-12-21,1372
2018-12-22,2031
2018-12-23,2145
2018-12-24,2371
2018-12-25,3723
2018-12-26,1089
2018-12-27,4719
2018-12-28,3745
2018-12-29,4387
2018-12-30,4249
2018-12-31,1539
2019-01-01,3779
2019-01-02,1868
2019-01-03,1040
2019-01-04,1739
2019-01-05,4775
2019-01-06,2946
2019-01-07,3549
2019-01-08,4006
2019-01-09,4216
2019-01-10,2224
2019-01-11,1928
2019-01-12,3036
2019-01-13,4795
2019-01-14,3508
2019-01-15,3779
2019-01-16,3799
2019-01-17,1924
2019-01-18,3956
2019-01-19,2581
2019-01-20,4618
2019-01-21,4324
2019-01-22,1389
2019-01-23,2617
2019-01-24,3930
2019-01-25,1255
2019-01-26,1708
2019-01-27,2838
2019-01-28,2944
2019-01-29,3497
2019-01-30,1009
2019-01-31,3871
2019-02-01,1797
2019-02-02,4313
2019-02-03,4322
2019-02-04,1876
2019-02-05,2028
2019-02-06,4190
2019-02-07,2015
2019-02-08,2824
2019-02-09,1373
2019-02-10,4136
2019-02-11,3193
2019-02-12,1223
2019-02-13,2262
2019-02-14,3224
2019-02-15,2802
2019-02-16,1852
2019-02-17,4353
2019-02-18,1062
2019-02-19,2240
2019-02-20,4925
2019-02-21,3874
2019-02-22,3842
2019-02-23,1688
2019-02-24,2484
2019-02-25,2633
2019-02-26,3152
2019-02-27,4170
2019-02-28,1510
2019-03-01,1384
2019-03-02,1404
2019-03-03,3870
2019-03-04,1517
2019-03-05,1475
2019-03-06,3000
2019-03-07,3756
2019-03-08,4934
2019-03-09,2668
2019-03-10,2893
2019-03-11,3818
2019-03-12,2460
2019-03-13,4094
2019-03-14,4044
2019-03-15,4636
2019-03-16,3724
2019-03-17,1713
2019-03-18,4529
2019-03-19,1082
2019-03-20,2168
2019-03-21,4156
2019-03-22,4149
2019-03-23,3504
2019-03-24,2901
2019-03-25,3048
2019-03-26,1050
2019-03-27,1684
2019-03-28,1716
2019-03-29,4843
2019-03-30,2469
2019-03-31,1448
2019-04-01,1880
2019-04-02,1487
2019-04-03,2823
2019-04-04,3081
2019-04-05,4419
2019-04-06,3142
2019-04-07,4143
2019-04-08,2574
2019-04-09,3201
2019-04-10,1249
2019-04-11,1673
2019-04-12,1437
2019-04-13,3165
2019-04-14,1770
2019-04-15,4962
2019-04-16,4377
2019-04-17,1267
2019-04-18,2984
2019-04-19,2077
2019-04-20,1235
2019-04-21,1388
2019-04-22,4037
2019-04-23,4805
2019-04-24,1762
2019-04-25,2848
2019-04-26,3448
2019-04-27,1623
2019-04-28,3814
2019-04-29,4374
2019-04-30,3966
2019-05-01,4278
2019-05-02,2252
2019-05-03,3900
2019-05-04,4981
2019-05-05,1577
2019-05-06,3122
2019-05-07,1434
2019-05-08,3150
2019-05-09,4493
2019-05-10,4775
2019-05-11,1763
2019-05-12,3785
2019-05-13,3853
2019-05-14,2329
2019-05-15,3145
2019-05-16,4921
2019-05-17,3845
2019-05-18,2358
2019-05-19,3906
2019-05-20,3482
2019-05-21,1446
2019-05-22,3017
2019-05-23,2331
2019-05-24,1248
2019-05-25,1165
2019-05-26,4552
2019-05-27,4031
2019-05-28,2358
2019-05-29,2019
2019-05-30,1541
2019-05-31,1758
2019-06-01,4177
2019-06-02,4634
2019-06-03,3128
2019-06-04,3180
2019-06-05,1796
2019-06-06,3947
2019-06-07,1137
2019-06-08,3231
2019-06-09,4472
2019-06-10,2353
2019-06-11,3832
2019-06-12,4579
2019-06-13,2875
2019-06-14,4031
2019-06-15,1068
2019-06-16,3593
2019-06-17,4845
2019-06-18,3100
2019-06-19,2473
2019-06-20,1204
2019-06-21,3173
2019-06-22,4818
2019-06-23,1042
2019-06-24,4823
2019-06-25,2906
2019-06-26,3158
2019-06-27,1760
2019-06-28,4734
2019-06-29,4254
2019-06-30,3895
2019-07-01,3142
2019-07-02,2994
2019-07-03,4445
2019-07-04,2935
2019-07-05,4591
2019-07-06,1899
2019-07-07,1359
2019-07-08,3947
2019-07-09,2719
2019-07-10,1280
2019-07-11,4266
2019-07-12,2887
2019-07-13,4266
2019-07-14,1666
2019-07-15,1092
2019-07-16,1671
2019-07-17,2969
2019-07-18,1060
2019-07-19,3681
2019-07-20,4122
2019-07-21,4474
2019-07-22,4860
2019-07-23,2028
2019-07-24,2489
2019-07-25,1603
2019-07-26,1681
2019-07-27,4900
2019-07-28,3581
2019-07-29,2428
2019-07-30,3885
2019-07-31,4584
2019-08-01,3692
2019-08-02,3280
2019-08-03,1523
2019-08-04,3393
2019-08-05,4117
2019-08-06,3593
2019-08-07,2968
2019-08-08,2101
2019-08-09,2753
2019-08-10,2836
2019-08-11,4994
2019-08-12,4144
2019-08-13,3841
2019-08-14,3296
2019-08-15,3094
2019-08-16,2144
2019-08-17,3261
2019-08-18,3286
2019-08-19,2079
2019-08-20,3397
2019-08-21,1106
2019-08-22,3878
2019-08-23,1047
2019-08-24,4644
2019-08-25,1336
2019-08-26,2049
2019-08-27,3851
2019-08-28,2280
2019-08-29,3055
2019-08-30,1624
2019-08-31,2890
2019-09-01,2276
2019-09-02,2715
2019-09-03,3766
2019-09-04,1302
2019-09-05,1638
2019-09-06,1055
2019-09-07,1725
2019-09-08,1525
2019-09-09,1473
2019-09-10,1027
2019-09-11,3125
2019-09-12,4287
2019-09-13,4457
2019-09-14,1364
2019-09-15,3713
2019-09-16,1525
2019-09-17,3746
2019-09-18,2335
2019-09-19,1882
2019-09-20,2030
2019-09-21,2026
2019-09-22,2646
2019-09-23,1918
2019-09-24,3797
2019-09-25,3410
2019-09-26,2774
2019-09-27,2531
2019-09-28,4345
2019-09-29,4577
2019-09-30,3853
2019-10-01,3786
2019-10-02,2906
2019-10-03,4086
2019-10-04,2215
2019-10-05,2654
2019-10-06,1484
2019-10-07,3075
2019-10-08,1713
2019-10-09,2062
2019-10-10,2976
2019-10-11,2296
2019-10-12,2254
2019-10-13,3133
2019-10-14,4545
2019-10-15,1125
2019-10-16,3859
2019-10-17,1536
2019-10-18,3192
2019-10-19,4596
2019-10-20,4283
2019-10-21,3072
2019-10-22,2603
2019-10-23,4465
2019-10-24,1066
2019-10-25,1232
2019-10-26,3156
2019-10-27,2169
2019-10-28,3158
2019-10-29,3275
2019-10-30,1110
2019-10-31,2493
2019-11-01,3081
2019-11-02,1622
2019-11-03,4847
2019-11-04,4440
2019-11-05,3795
2019-11-06,3642
2019-11-07,4625
2019-11-08,3472
2019-11-09,3660
2019-11-10,2541
2019-11-11,3739
2019-11-12,2305
2019-11-13,4391
2019-11-14,2761
2019-11-15,4514
2019-11-16,2975
2019-11-17,3362
2019-11-18,1876
2019-11-19,2989
2019-11-20,4812
2019-11-21,4448
2019-11-22,2312
2019-11-23,2460
2019-11-24,3709
2019-11-25,3324
2019-11-26,2733
2019-11-27,2605
2019-11-28,2526
2019-11-29,3671
2019-11-30,3563
2019-12-01,4421
2019-12-02,3890
2019-12-03,4517
